"TABLE_NAME","CONSTRAINT_NAME","CONSTRAINT_TYPE","SEARCH_CONDITION","R_CONSTRAINT_NAME"
"CASA","FK_CASA_INMUEBLE","R","","PK_INMUEBLE"
"DEPARTAMENTO","FK_DEPARTAMENTO_INMUEBLE","R","","PK_INMUEBLE"
"DEPARTAMENTO","FK_DEPARTAMENTO_EDIFICIO","R","","PK_EDIFICIO"
"SER_DUENIO","FK_SER_DUENIO_DUENIO","R","","PK_DUENIO"
"PROPIETARIO","FK_PROPIETARIO_DUENIO","R","","PK_DUENIO"
"INMOBILIARIA","FK_INMOBILIARIA_DUENIO","R","","PK_DUENIO"
"PROPIETARIO","FK_PROPIETARIO_PERSONA","R","","PK_PERSONA"
"CORREO_ELECTRONICO","FK_CORREO_PERSONA","R","","PK_PROPIETARIO"
"REVENDER","FK_REVENDER_INMOBILIARIA","R","","PK_INMOBIIARIA"
"VENTA_HISTORIAL","FK_VENTA_HISTORIAL_INMOBILIARIA","R","","PK_INMOBIIARIA"
"DIRECCION_ASESOR","FK_DIRECCION_ASESOR","R","","PK_ASESOR"
"SER_ENCARGADO","FK_SER_ENCARGADO_ASESOR","R","","PK_ASESOR"
"VENDER","FK_VENDER_ASESOR","R","","PK_ASESOR"
"MUNICIPIO","FK_MUNICIPIO_ESTADO","R","","PK_ESTADO"
"COLONIA","FK_COLONIA_MUNICIPIO","R","","PK_MUNICIPIO"
"HABITANTES_COLONIA","FK_HABITANTES_COLONIA","R","","PK_COLONIA"
"TRANSPORTE","FK_TRANSPORTE_COLONIA","R","","PK_COLONIA"
"TIENDA_DEPARTAMENTAL","FK_TIENDA_DEP_COLONIA","R","","PK_COLONIA"
"PROPIEDAD","FK_PROPIEDAD_COLONIA","R","","PK_COLONIA"
"SERVICIO","FK_SERVICIO_PROPIEDAD","R","","PK_PROPIEDAD"
"TERRENO","FK_TERRENO_PROPIEDAD","R","","PK_PROPIEDAD"
"INMUEBLE","FK_INMUELBE_PROPIEDAD","R","","PK_PROPIEDAD"
"SEGURO","FK_SEGURO_PROPIEDAD","R","","PK_PROPIEDAD"
"SER_DUENIO","FK_SER_DUENIO_PROPIEDAD","R","","PK_PROPIEDAD"
"REVENDER","FK_REVENDER_PROPIEDAD","R","","PK_PROPIEDAD"
"VENTA_HISTORIAL","FK_VENTA_HISTORIAL_PROPIEDAD","R","","PK_PROPIEDAD"
"VENDER","FK_VENDER_PROPIEDAD","R","","PK_PROPIEDAD"
"SER_ENCARGADO","FK_SER_ENCARGADO_PROPIEDAD","R","","PK_PROPIEDAD"
"COLONIA","SYS_C008485","C","""NOMBRE"" IS NOT NULL",""
"COLONIA","SYS_C008486","C","""NOMBRE_MUNICIPIO"" IS NOT NULL",""
"COLONIA","SYS_C008487","C","""NOMBRE_ESTADO"" IS NOT NULL",""
"PROPIEDAD","SYS_C008495","C","""ID_PROPIEDAD"" IS NOT NULL",""
"SERVICIO","SYS_C008498","C","""ID_SERVICIO"" IS NOT NULL",""
"TERRENO","CH_TERRENO_CONSTRUC","C","construccion IN (0, 1)",""
"EDIFICIO","SYS_C008508","C","""ID_EDIFICIO"" IS NOT NULL",""
"EDIFICIO","CH_EDIFICIO_ROOF_GARDEN","C","roof_garden IN (0, 1)",""
"EDIFICIO","CH_EDIFICIO_ELEVADOR","C","elevador IN (0, 1)",""
"EDIFICIO","CH_EDIFICIO_SALON_EVENTOS","C","salon_eventos IN (0, 1)",""
"EDIFICIO","CH_EDIFICIO_GIMNASIO","C","gimnasio IN (0, 1)",""
"EDIFICIO","CH_EDIFICIO_PISCINA","C","piscina IN (0, 1)",""
"DEPARTAMENTO","CH_DEPARTAMENTO_AREA_LAVADO","C","area_lavado IN (0, 1)",""
"DEPARTAMENTO","CH_DEPARTAMENTO_BALCON","C","balcon IN (0, 1)",""
"DUENIO","SYS_C008522","C","""ID_DUENIO"" IS NOT NULL",""
"CORREO_ELECTRONICO","SYS_C008530","C","""CORREO_ELECTRONICO"" IS NOT NULL",""
"INMOBILIARIA","SYS_C008532","C","""ID_INMOBILIARIA"" IS NOT NULL",""
"VENDER","CK_VENDER_COMISION","C","porcentaje_comision <= 100",""
"ESTADO","PK_ESTADO","P","",""
"MUNICIPIO","PK_MUNICIPIO","P","",""
"COLONIA","PK_COLONIA","P","",""
"TRANSPORTE","PK_TRANSPORTE","P","",""
"TIENDA_DEPARTAMENTAL","PK_TIENDA_DEP","P","",""
"PROPIEDAD","PK_PROPIEDAD","P","",""
"SERVICIO","PK_SERVICIO","P","",""
"TERRENO","PK_TERRENO","P","",""
"INMUEBLE","PK_INMUEBLE","P","",""
"CASA","PK_CASA","P","",""
"EDIFICIO","PK_EDIFICIO","P","",""
"DEPARTAMENTO","PK_DEPARTAMENTO","P","",""
"SEGURO","PK_SEGURO","P","",""
"DUENIO","PK_DUENIO","P","",""
"PERSONA","PK_PERSONA","P","",""
"PROPIETARIO","PK_PROPIETARIO","P","",""
"INMOBILIARIA","PK_INMOBIIARIA","P","",""
"ASESOR","PK_ASESOR","P","",""
"SERVICIO","UQ_SERVICIO_PROPIEDAD","U","",""
